Code;Bezeichnung;Niveau;Misc
32132;Schornsteinbau - Fachkraft;Fachkraefte;
3214;Berufe in der Dachdeckerei;;
32142;Dachdeckerei - Fachkraft;Fachkraefte;
3215;Berufe im Fassadenbau;;
32152;Fassadenbau - Fachkraft;Fachkraefte;
3216;Berufe im Gerüstbau;;
32162;Gerüstbau - Fachkraft;Fachkraefte;
3217;Berufe im Bauwerksabbruch;;
32172;Bauwerksabbruch - Fachkraft;Fachkraefte;
3219;Aufsicht - Hochbau;;Aufsicht
32193;Aufsicht - Hochbau;;Aufsicht
322;Tiefbau;;
3220;Berufe im Tiefbau (o.S.);;
32201;Tiefbau (o.S.) - Helfer;Helfer;
32202;Tiefbau (o.S.) - Fachkraft;Fachkraefte;
32203;Tiefbau (o.S.) - Spezialist;Spezialisten;
32204;Tiefbau (o.S.) - Experte;Experten;
3221;Pflasterer/innen, Steinsetzer/innen;;
32212;Pflasterer, Steinsetzer - Fachkraft;Fachkraefte;
3222;Berufe im Straßen- und Asphaltbau;;
32222;Straßen- und Asphaltbau - Fachkraft;Fachkraefte;
32223;Straßen- und Asphaltbau - Spezialist;Spezialisten;
32224;Straßen- und Asphaltbau - Experte;Experten;
3223;Berufe im Gleisbau;;
32232;Gleisbau - Fachkraft;Fachkraefte;
32233;Gleisbau - Spezialist;Spezialisten;
3224;Berufe im Brunnenbau;;
32242;Brunnenbau - Fachkraft;Fachkraefte;
32243;Brunnenbau - Spezialist;Spezialisten;
3225;Berufe im Kanal- und Tunnelbau;;
32252;Kanal- und Tunnelbau - Fachkraft;Fachkraefte;
32253;Kanal- und Tunnelbau - Spezialist;Spezialisten;
3226;Berufe im Kultur- und Wasserbau;;
32262;Kultur- und Wasserbau - Fachkraft;Fachkraefte;
32263;Kultur- und Wasserbau - Spezialist;Spezialisten;
32264;Kultur- und Wasserbau - Experte;Experten;
3229;Aufsicht - Tiefbau;;Aufsicht
32293;Aufsicht - Tiefbau;;Aufsicht
33;(Innen-)Ausbauberufe;;
331;Bodenverlegung;;
3310;Berufe in der Bodenverlegung (o.S.);;
33101;Bodenverlegung (o.S.) - Helfer;Helfer;
33102;Bodenverlegung (o.S.) - Fachkraft;Fachkraefte;
3311;Berufe Fliesen-,Platten-,Mosaikverlegung;;
33112;Fliesen-Platten-,Mosaikverleg.-Fachkraft;Fachkraefte;
3312;Berufe Estrich- und Terrazzoverlegung;;
33122;Estrich-, Terrazzoverlegung - Fachkraft;Fachkraefte;
3313;Berufe in der Parkettverlegung;;
33132;Parkettverlegung - Fachkraft;Fachkraefte;
33133;Parkettverlegung - Spezialist;Spezialisten;
3319;Aufsicht - Bodenverlegung;;Aufsicht
33193;Aufsicht - Bodenverlegung;;Aufsicht
332;Maler.,Stuckat.,Bauwerksabd,Bautenschutz;;
